Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
NELSON RIXEN CREEK,BRITISH COLUMBIA,114EMDM,1095,,,49.51,-117.4,493044400,-1172355700,760,1990,2021,,,1990,2021,1990,2007
FERNIE,BRITISH COLUMBIA,1152850,1180,,,49.49,-115.07,492919400,-1150423900,1001,1913,2021,,,1913,2021,1913,2007
FT STEELE DANDY CRK,BRITISH COLUMBIA,1153034,1186,,,49.52,-115.46,493126100,-1152738100,856,1968,2021,,,1968,2021,1968,2007
KIMBERLEY PCC,BRITISH COLUMBIA,1154203,1194,,,49.63,-115.96,493753700,-1155744200,889,1975,2021,,,1975,2021,1975,2007
KOOTENAY NP WEST GATE,BRITISH COLUMBIA,1154410,1199,,,50.63,-116.06,503750900,-1160341000,935,1968,2021,,,1968,2021,1968,2007
SPARWOOD,BRITISH COLUMBIA,1157630,1207,,,49.75,-114.88,494443000,-1145258000,1137.7,1980,2020,1980,2014,1980,2020,1980,2007
SPARWOOD CS,BRITISH COLUMBIA,1157631,6842,71782,WGW,49.75,-114.88,494442000,-1145302040,1136.7,1992,2021,1994,2021,1992,2021,1993,2006
WARDNER KTNY HATCHERY,BRITISH COLUMBIA,1158692,1209,,,49.47,-115.46,492823400,-1152734300,760,1971,2021,,,1971,2021,1971,2007
ASHCROFT,BRITISH COLUMBIA,1160515,48708,71681,VAS,50.71,-121.28,504230005,-1211653001,327,2010,2021,2010,2021,2010,2021,,
BLUE RIVER A,BRITISH COLUMBIA,1160899,1237,,YCP,52.13,-119.29,520744500,-1191722300,690.4,1969,2021,1969,2015,1969,2021,1969,2007
BLUE RIVER CS,BRITISH COLUMBIA,1160H99,8214,71883,WSV,52.13,-119.29,520744400,-1191723700,682.8,1992,2021,1993,2021,1992,2021,1997,2006
CRISS CREEK,BRITISH COLUMBIA,1162177,1256,,,51.03,-120.73,510147000,-1204342000,1122,1988,2020,,,1988,2020,1988,2007
KAMLOOPS AUT,BRITISH COLUMBIA,1163842,42203,71741,ZKA,50.7,-120.44,504208000,-1202631000,345,2006,2021,2006,2021,2006,2021,2006,2006
100 MILE HOUSE 6NE,BRITISH COLUMBIA,1165793,1309,,,51.68,-121.22,514053000,-1211301000,928,1987,2021,,,1987,2021,1987,2007
RED LAKE,BRITISH COLUMBIA,1166658,1313,,,50.94,-120.8,505606000,-1204800000,1162,1974,2021,,,1974,2021,1974,2007
SILVER CREEK,BRITISH COLUMBIA,1167337,1327,,,50.55,-119.35,503242700,-1192100100,419,1989,2021,,,1989,2021,1989,2007
SUN PEAKS MOUNTAIN,BRITISH COLUMBIA,1168204,1338,,,50.9,-119.91,505410844,-1195440813,1847.42,1980,2021,,,1980,2021,1981,2007
VAVENBY,BRITISH COLUMBIA,1168520,1340,,,51.58,-119.78,513434000,-1194641000,445,1913,2021,,,1913,2021,1913,2007
KAMLOOPS PRATT ROAD,BRITISH COLUMBIA,116C8P0,1216,,,50.63,-120.17,503746600,-1201019200,729,1986,2021,,,1986,2021,1986,2007
SALMON ARM CS,BRITISH COLUMBIA,116FRMN,6843,71218,WSL,50.7,-119.29,504210800,-1191726440,350.5,1991,2021,1994,2021,1991,2021,1991,2006
SUN PEAKS LOWER,BRITISH COLUMBIA,116Q20D,11006,,,50.89,-119.88,505313451,-1195259137,1310.57,1994,2021,,,1994,2021,1994,2007
SUN PEAKS UPPER,BRITISH COLUMBIA,116QK0M,11005,,,50.9,-119.92,505407500,-1195506000,2055,1994,2021,,,1994,2021,1994,2007
GOLDEN A,BRITISH COLUMBIA,1173210,1364,71173,YGE,51.3,-116.98,511757000,-1165856000,784.9,1902,2021,1991,2014,1902,2021,1902,2007
MICA DAM,BRITISH COLUMBIA,1175122,1367,,,52.05,-118.59,520311000,-1183507000,579.1,1951,2021,,,1951,2021,1951,2007
YOHO PARK,BRITISH COLUMBIA,11790J1,6844,71786,WYL,51.44,-116.34,512634400,-1162040400,1602,1992,2021,1994,2021,1992,2021,1993,2006
CHETWYND A,BRITISH COLUMBIA,1181508,1400,,YCQ,55.69,-121.63,554114000,-1213736000,609.6,1982,2021,1982,2014,1982,2021,1982,2007
DAWSON CREEK A,BRITISH COLUMBIA,1182289,48208,71471,YDQ,55.74,-120.18,554432000,-1201059000,654.7,2009,2021,2009,2021,2009,2021,,
MACKENZIE,BRITISH COLUMBIA,1184791,48870,71290,YZY,55.3,-123.13,551758000,-1230800000,690.1,2010,2021,2010,2021,2010,2021,,
DEASE LAKE (AUT),BRITISH COLUMBIA,119BLM0,6845,71222,WKX,58.43,-130.03,582533959,-1300130000,800.67,1993,2021,1994,2021,1993,2021,1993,2007
ATLIN,BRITISH COLUMBIA,1200560,1485,,,59.57,-133.7,593400000,-1334200000,673.6,1899,2021,,,1899,2021,1899,2007
PLEASANT CAMP,BRITISH COLUMBIA,1206197,1504,,,59.45,-136.37,592700000,-1362200000,274.3,1974,2021,,,1974,2021,1974,2007
CARMACKS CS,YUKON TERRITORY,2100301,27950,71039,XCK,62.12,-136.19,620654000,-1361131100,542.9,1999,2021,2000,2021,1999,2021,,
FARO (AUT),YUKON TERRITORY,2100518,8964,71949,WUM,62.21,-133.38,621227000,-1332233000,716.6,1992,2021,1994,2021,1992,2021,2002,2007
HAINES JUNCTION,YUKON TERRITORY,2100630,1556,71505,WHT,60.77,-137.58,604621008,-1373449004,595.3,1944,2021,1960,2021,1944,2021,1944,2006
HERSCHEL ISLAND,YUKON TERRITORY,2100636,1560,71501,WJN,69.57,-138.91,693405500,-1385448200,1.2,1974,2021,1994,2021,1974,2021,1974,2007
IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,71978,WOI,69.16,-140.15,690952000,-1400900000,243.8,1995,2021,1995,2021,1995,2021,2004,2006
KOMAKUK BEACH,YUKON TERRITORY,2100682,10822,71046,WKM,69.61,-140.2,693643000,-1401149000,13.2,1994,2021,1994,2021,1994,2021,,
MACMILLAN PASS,YUKON TERRITORY,2100693,27339,71990,WNV,63.24,-130.04,631437026,-1300214028,1379,1998,2021,1998,2021,1998,2021,1998,2007
MARGARET LAKE,YUKON TERRITORY,2100697,27296,71977,WZR,68.8,-140.85,684802000,-1405051000,568,1997,2021,1997,2021,1997,2021,2004,2006
OLD CROW RCS,YUKON TERRITORY,2100805,26894,71044,ZOC,67.57,-139.84,673414000,-1395021000,251.2,1994,2021,1994,2021,1995,2021,2006,2007
OTTER FALLS NCPC,YUKON TERRITORY,2100840,1583,,,61.03,-137.05,610200000,-1370300000,829.7,1980,2021,,,1980,2021,1980,2007
ROCK RIVER,YUKON TERRITORY,2100935,8979,71506,WRR,66.98,-136.22,665852000,-1361305000,731,1994,2021,1994,2021,1995,2021,,
SHINGLE POINT A,YUKON TERRITORY,2100950,1596,71968,YUA,68.95,-137.22,685700000,-1371300000,49.4,1957,2021,1973,2021,1957,2021,1957,1993
DAWSON,YUKON TERRITORY,2100LRP,10194,71966,WON,64.06,-139.13,640339076,-1390736000,370,1995,2021,1995,2021,1995,2021,1999,2007
TAKHINI RIVER RANCH,YUKON TERRITORY,2101095,1608,,,60.95,-135.57,605645000,-1353423000,671,1980,2021,,,1980,2021,1980,2007
TESLIN (AUT),YUKON TERRITORY,2101102,8985,71045,WZW,60.17,-132.73,601000000,-1324400000,705,1992,2021,1994,2021,1992,2021,2001,2007
WATSON LAKE (AUT),YUKON TERRITORY,2101204,32293,71199,XQH,60.12,-128.83,600657020,-1284955020,683.3,2002,2021,2005,2021,2002,2021,,
WHITEHORSE AUTO,YUKON TERRITORY,2101310,48168,71773,VXY,60.73,-135.1,604359000,-1350552000,707,2009,2021,2009,2021,2009,2021,,
CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,71948,ZCP,70.17,-124.72,701000000,-1244300000,86.6,1956,2021,1956,2021,1957,2021,1957,2007
COLVILLE LAKE,NORTHWEST TERRITORIES,2200824,10867,71055,WFX,67.02,-126.12,670117040,-1260723070,271,1994,2021,1994,2021,1995,2021,2004,2006
DELINE CS,NORTHWEST TERRITORIES,2201022,27749,71503,XDE,65.21,-123.43,651231090,-1232600070,212.8,1999,2021,1999,2021,1999,2021,1999,2007
DEADMEN VALLEY,NORTHWEST TERRITORIES,22010H0,31187,71021,XDK,61.26,-124.47,611524000,-1242806000,283,2001,2021,2001,2021,2001,2021,2001,2007
FORT GOOD HOPE CS,NORTHWEST TERRITORIES,2201450,27549,71491,ZGH,66.24,-128.64,661432044,-1283839081,81.7,1998,2021,1998,2021,1998,2021,1998,2007
FORT LIARD,NORTHWEST TERRITORIES,2201579,10687,71497,WJL,60.23,-123.47,601400000,-1232800000,213.4,1994,2021,1994,2021,1996,2021,1996,2007
FORT PROVIDENCE,NORTHWEST TERRITORIES,2201799,10902,71087,WID,61.32,-117.6,611901000,-1173607000,161.5,1994,2021,1994,2021,1994,2021,2006,2007
FORT RELIANCE (AUT),NORTHWEST TERRITORIES,2201903,8935,71160,WFZ,62.71,-109.17,624241000,-1091006000,167.6,1994,2021,1994,2021,1994,2021,1996,2007
FORT SIMPSON CLIMATE,NORTHWEST TERRITORIES,2202102,41944,71365,ZFS,61.76,-121.24,614537000,-1211412000,168,2003,2021,2003,2021,2003,2021,2003,2007
FORT SMITH CLIMATE,NORTHWEST TERRITORIES,2202202,41884,71362,ZSM,60.03,-111.93,600134000,-1115546000,203,2003,2021,2003,2021,2003,2021,2003,2007
HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,71963,WQY,63.6,-105.13,633600000,-1050800000,317.4,1994,2021,1994,2021,1994,2021,1998,2007
HAY RIVER CLIMATE,NORTHWEST TERRITORIES,2202402,41885,71361,ZHY,60.84,-115.78,605020000,-1154636000,164,2003,2021,2003,2021,2003,2021,2003,2007
INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,71162,WBJ,61.92,-113.73,615513030,-1134335040,165.2,1994,2021,1994,2021,1994,2021,1998,2007
INUVIK CLIMATE,NORTHWEST TERRITORIES,2202578,41883,71364,ZEV,68.32,-133.52,681900000,-1333100000,103,2003,2021,2003,2021,2003,2021,2003,2007
KEATS POINT,NORTHWEST TERRITORIES,2202663,10825,71058,WKP,69.67,-121.67,694022000,-1214021000,330.2,1998,2021,1998,2021,2001,2021,2006,2006
WHATI,NORTHWEST TERRITORIES,2202678,1674,71163,WMT,63.13,-117.24,630801070,-1171441050,271.3,1974,2021,1994,2021,1974,2021,1974,2007
NORMAN WELLS CLIMATE,NORTHWEST TERRITORIES,2202810,43004,71480,NVQ,65.29,-126.75,651715090,-1264512084,93.6,2003,2021,2003,2021,2004,2021,2005,2007
PAULATUK,NORTHWEST TERRITORIES,2203058,26986,71984,ZPK,69.36,-124.08,692128004,-1240457005,6.3,1994,2021,1994,2021,1994,2021,2000,2007
PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,71502,WND,69.63,-135.44,693757000,-1352638000,17,1993,2021,1994,2021,1993,2021,2006,2006
RABBIT KETTLE,NORTHWEST TERRITORIES,2203342,26895,71980,WQF,61.96,-127.21,615747000,-1271233000,618,1995,2021,1995,2021,1995,2021,1998,2007
GAMETI,NORTHWEST TERRITORIES,2203359,10926,71165,WYH,64.11,-117.33,640642078,-1171940086,221,1994,2021,1994,2021,1994,2021,2005,2006
TUKTOYAKTUK,NORTHWEST TERRITORIES,2203914,26987,71985,ZUB,69.43,-133.02,692600000,-1330100000,4.6,1994,2021,1994,2021,1995,2021,1999,2006
TUKTUT NOGAIT,NORTHWEST TERRITORIES,2203918,27626,71492,XTN,69.2,-122.36,691156000,-1222133000,551.6,1998,2021,1998,2021,1998,2021,1998,2007
YELLOWKNIFE-HENDERSON,NORTHWEST TERRITORIES,2204110,45467,,,62.45,-114.38,622700000,-1142300000,200,2006,2021,,,2006,2021,2006,2007
YOHIN,NORTHWEST TERRITORIES,2204300,1635,71020,XYH,61.24,-123.74,611431000,-1234430000,204,1957,2021,1973,2021,1957,2021,1957,2007
LIVERPOOL BAY,NORTHWEST TERRITORIES,220B68C,10823,71960,WLI,69.6,-130.91,693615000,-1305438000,101.9,1992,2021,1994,2021,1992,2021,2005,2007
LITTLE CHICAGO,NORTHWEST TERRITORIES,220B6Q3,10760,71164,WLG,67.18,-130.23,671045000,-1301341000,62.5,1993,2021,1994,2021,1993,2021,2005,2007
SAMBAA K'E,NORTHWEST TERRITORIES,220CQHR,10880,71166,WTE,60.44,-121.24,602627000,-1211420000,498,1994,2021,1994,2021,1994,2021,2006,2007
STORM HILLS,NORTHWEST TERRITORIES,220LQJJ,10824,71052,WVH,68.91,-133.94,685439000,-1335630000,261.4,1993,2021,1999,2021,1993,2021,2000,2000
LINDBURG LANDING,NORTHWEST TERRITORIES,220N003,27608,71682,XLL,61.13,-122.85,610730000,-1225104000,183,1998,2021,1998,2021,1998,2021,1998,2007
LOWER CARP LAKE,NORTHWEST TERRITORIES,220N004,27610,71680,XLC,63.6,-113.86,633610080,-1135145040,373.4,1992,2020,1992,2020,1998,2020,1998,2006
TRAIL VALLEY,NORTHWEST TERRITORIES,220N005,27620,71683,XTV,68.75,-133.5,684446800,-1333006400,85,1998,2021,1998,2021,1998,2021,2002,2006
BAKER LAKE CLIMATE,NUNAVUT,2300501,42583,71356,XBL,64.32,-96,641900000,-960000000,50.8,2004,2021,2004,2021,2004,2021,2005,2007
KUGLUKTUK CLIMATE,NUNAVUT,2300904,43003,71332,NCO,67.82,-115.14,674902004,-1150807000,22.6,2004,2021,2005,2021,2004,2021,2005,2007
ENNADAI LAKE (AUT),NUNAVUT,2301102,7341,71923,WJC,61.13,-100.88,610755000,-1005302000,353.1,1994,2021,1994,2021,1994,2021,1998,2007
ARVIAT CLIMATE,NUNAVUT,2301153,41576,71322,XAR,61.1,-94.07,610600000,-940400000,9.8,2004,2021,2004,2021,2004,2021,2005,2007
GJOA HAVEN CLIMATE,NUNAVUT,2302340,41943,71363,ZHK,68.64,-95.85,683808000,-955101000,42.3,2003,2021,2003,2021,2003,2021,2003,2007
HAT ISLAND,NUNAVUT,2302370,1716,71084,WIL,68.32,-100.09,681905000,-1000513000,36.1,1959,2021,1994,2021,1959,2021,1959,2007
PELLY BAY,NUNAVUT,2303093,10847,71918,WRF,68.44,-89.73,682613000,-894333000,324.45,1994,2021,1994,2021,1994,2021,2005,2007
KUGAARUK CLIMATE,NUNAVUT,2303094,43006,71407,NBB,68.54,-89.8,683215060,-894747020,15.8,2004,2021,2004,2021,2004,2021,2007,2007
ROBERTSON LAKE (AUT),NUNAVUT,2303610,7337,71490,WTD,65.1,-102.43,650559000,-1022546000,243.7,1992,2021,1992,2021,1994,2021,1998,2007
SHEPHERD BAY A,NUNAVUT,2303685,1723,71911,YUS,68.82,-93.43,684900000,-932600000,42.7,1957,2021,1973,2021,1957,2021,1957,2006
CROKER RIVER,NUNAVUT,230J01Q,10826,71059,WXR,69.28,-119.22,691632000,-1191308000,69.4,1993,2021,1994,2021,1993,2021,2005,2007
LUPIN CS,NUNAVUT,230N002,27376,71470,WIJ,65.76,-111.25,654519050,-1111445030,488,1997,2021,1997,2021,1997,2021,2004,2007
ALERT A,NUNAVUT,2400302,7559,,YLT,82.52,-62.28,823100000,-621700000,30.5,1988,2021,1988,2021,,,,
ALERT CLIMATE,NUNAVUT,2400305,42463,71355,ZLT,82.5,-62.33,823000000,-622000000,65.4,2004,2021,2004,2021,2004,2021,2005,2007
ALERT UA,NUNAVUT,2400306,10744,71082,,82.5,-62.33,823000000,-622000000,65.4,1997,2021,,,1997,2021,1997,2007
ARCTIC BAY CS,NUNAVUT,2400404,29517,71592,XAT,72.99,-85.01,725934000,-850044000,10,1999,2021,2000,2021,1999,2021,1999,2007
BREVOORT ISLAND,NUNAVUT,2400565,1735,71097,WOB,63.34,-64.15,632023000,-640845000,376,1959,2021,1960,2021,1959,2021,1959,2007
BROUGHTON ISLAND,NUNAVUT,2400570,1736,71096,WVD,67.54,-63.79,673208000,-634720000,584.4,1956,2021,1956,2021,1957,2021,1957,2007
QIKIQTARJUAQ CLIMATE,NUNAVUT,2400573,42803,71357,ZVM,67.55,-64.03,673250700,-640200400,6.4,2005,2021,2005,2021,2005,2021,2005,2007
CAMBRIDGE BAY GSN,NUNAVUT,2400602,32233,71288,XCM,69.11,-105.14,690629000,-1050818000,18.69,2002,2021,2002,2021,2002,2021,2002,2007
KINNGAIT,NUNAVUT,2400636,43163,71575,NCD,64.23,-76.53,641350700,-763149600,50,2005,2021,2005,2021,2005,2021,2005,2007
CAPE DYER,NUNAVUT,2400650,1739,71094,WFD,66.65,-61.38,663900000,-612300000,725.1,1955,2021,1955,2021,1958,2021,1958,1959
CAPE HOOPER,NUNAVUT,2400660,1742,71093,WUP,68.47,-66.8,682821000,-664755000,390.1,1956,2021,1956,2021,1957,2021,1957,2007
CAPE PEEL WEST,NUNAVUT,2400697,10828,71064,WPX,69.04,-107.82,690209000,-1074923000,165.3,1993,2021,1994,2021,1993,2021,,
CLYDE RIVER CLIMATE,NUNAVUT,2400802,42244,71358,ZCY,70.48,-68.52,702900000,-683100000,26.5,2004,2021,2004,2021,2004,2021,2005,2007
DEWAR LAKES,NUNAVUT,2401030,1746,71092,WUW,68.65,-71.17,683900000,-711000000,526.7,1956,2021,1956,2021,1958,2021,1958,2007
GRISE FIORD CLIMATE,NUNAVUT,2402351,46568,71971,NGC,76.42,-82.9,762522040,-825408020,44.5,2007,2021,2007,2021,2007,2021,,
SANIRAJAK,NUNAVUT,2402353,42483,71320,XUX,68.78,-81.24,684634000,-811437000,8.2,2004,2021,2004,2021,2004,2021,2005,2007
IQALUIT CLIMATE,NUNAVUT,2402592,42503,71321,XFB,63.75,-68.54,634450000,-683240000,33.5,2004,2021,2004,2021,2004,2021,2005,2007
ISACHSEN (AUT),NUNAVUT,2402604,10253,71074,WIC,78.79,-103.55,784732004,-1033316008,58,1994,2021,1994,2021,1995,2021,2003,2007
LONGSTAFF BLUFF,NUNAVUT,2402684,1764,71091,WLX,68.9,-75.14,685355000,-750827000,160.8,1955,2021,1955,2021,1957,2021,1958,2007
PANGNIRTUNG,NUNAVUT,2403049,10721,71826,WXP,66.14,-65.71,660836300,-654240500,22.6,1994,2021,1994,2021,1995,2021,1996,2007
POND INLET CLIMATE,NUNAVUT,2403204,43223,71576,NDT,72.69,-77.96,724136000,-775727000,64.66,2004,2021,2004,2021,2005,2021,2005,2007
REA POINT,NUNAVUT,2403450,1793,71983,ZRP,75.38,-105.72,752236009,-1054254002,15,1969,2021,1969,2021,1969,2021,1969,2007
RESOLUTE CS,NUNAVUT,2403505,32150,71018,XRB,74.72,-94.98,744257005,-945859007,30,2002,2021,2002,2021,2002,2021,2002,2007
RESOLUTION ISLAND,NUNAVUT,2403602,1778,71972,WRH,61.58,-64.65,613500000,-643900000,368.5,1962,2021,1962,2021,1962,2021,1962,1975
ROWLEY ISLAND,NUNAVUT,2403625,1779,71088,WRX,69.08,-79.03,690500000,-790200000,41,1957,2021,1994,2021,1957,2021,1958,2007
STEFANSSON ISLAND,NUNAVUT,2403756,32148,71017,XSE,73.77,-105.3,734556500,-1051744000,11,2002,2021,2002,2021,2002,2021,2002,2007
WAGER BAY (AUT),NUNAVUT,2403945,31167,71049,XWB,65.88,-89.45,655245000,-892645000,18,2001,2021,2001,2021,2001,2021,2001,2006
NANGMAGVIK LAKE,NORTHWEST TERRITORIES,2500440,27118,71974,WSQ,74.14,-119.99,740820000,-1195920000,32,1996,2021,1996,2021,1996,2021,1998,2007
HOLMAN CS,NORTHWEST TERRITORIES,2502505,29715,71029,XHI,70.76,-117.8,704541002,-1174800002,29.9,2000,2021,2000,2021,2000,2021,2002,2007
SACHS HARBOUR CLIMATE,NORTHWEST TERRITORIES,2503648,10076,71467,WSY,71.99,-125.25,715933000,-1251515000,87.5,1994,2021,1994,2021,1994,2021,2004,2007
THOMSEN RIVER,NORTHWEST TERRITORIES,2503886,10598,71916,WYF,73.23,-119.54,731351000,-1193218000,41.5,1997,2021,1997,2021,1997,2021,1998,2007
MOULD BAY CS,NORTHWEST TERRITORIES,250M001,27324,71989,WAY,76.24,-119.35,761415060,-1192050040,1.5,1997,2021,1997,2021,1997,2021,2002,2007
ABEE AGDM,ALBERTA,3010010,32232,71285,XAF,54.28,-112.97,541700000,-1125800000,664,1990,2021,1990,2021,2002,2021,2002,2007
ALBERT HALL AGCM,ALBERTA,3010060,46127,71005,PAH,53.11,-111.18,530648004,-1111052006,658,2007,2021,2007,2021,2007,2021,2007,2007
ALLIANCE AGCM,ALBERTA,3010162,46327,71006,PAA,52.32,-111.78,521855007,-1114643006,737,2007,2021,2007,2021,2007,2021,2007,2007
ANDREW AGDM,ALBERTA,3010237,32253,71286,XAG,53.92,-112.28,535501000,-1121645000,625,1998,2021,1998,2021,2002,2021,2002,2007
BELLSHILL AGCM,ALBERTA,3010650,46128,71010,PBL,52.58,-111.47,523456007,-1112755007,721,2007,2021,2007,2021,2007,2021,,
BODO AGDM,ALBERTA,3010730,32149,71214,XBA,52.12,-110.1,520727005,-1100605009,687,1995,2021,1995,2021,2002,2021,2002,2007
BRETON,ALBERTA,3010815,1825,,,53.17,-114.48,531000000,-1142900000,843,1961,2020,,,1961,2020,1961,2007
BRETON PLOTS,ALBERTA,3010816,10928,71233,WOV,53.09,-114.44,530522000,-1142627000,851.5,1995,2021,1995,2021,2001,2021,2001,2007
BUSBY AGCM,ALBERTA,3010979,47068,71284,PBB,53.93,-113.92,535551005,-1135518001,714,2008,2021,2008,2021,2008,2021,,
CADOGAN AGCM,ALBERTA,3010992,46470,71012,PCA,52.33,-110.51,522003007,-1103036002,690,2007,2021,2007,2021,2007,2021,,
CAMROSE,ALBERTA,3011240,1839,71254,WRV,53.05,-112.82,530300000,-1124900000,739,1946,2021,1994,2021,1946,2021,1946,2007
CONSORT AGDM,ALBERTA,3011815,32230,71223,XCS,51.94,-110.71,515613008,-1104247003,772,2002,2021,2002,2021,2002,2021,2002,2007
CORONATION CLIMATE,ALBERTA,3011887,27212,71318,WCT,52.07,-111.45,520427000,-1112658000,791,1996,2021,1999,2021,1996,2021,1996,2007
CRESTOMERE AGCM,ALBERTA,3011892,47069,71380,PCC,52.73,-113.9,524358005,-1135410007,855,2008,2021,2008,2021,2008,2021,,
DELBURNE AGCM,ALBERTA,3012050,46730,71014,PDA,52.18,-113.18,521058004,-1131032006,889,2007,2021,2008,2021,2007,2021,2007,2007
DEWBERRY AGCM,ALBERTA,3012073,46731,71359,PDB,53.66,-110.59,533933008,-1103515006,616,2007,2021,2008,2021,2007,2021,2007,2007
EDGERTON AGCM,ALBERTA,3012192,46129,71360,PEA,52.78,-110.43,524640001,-1102558002,649,2007,2021,2007,2021,2007,2021,,
EDMONTON INTERNATIONAL CS,ALBERTA,3012206,27793,71155,XEG,53.31,-113.61,531824002,-1133621009,715,1999,2021,1999,2021,1999,2021,1999,2007
EDMONTON BLATCHFORD,ALBERTA,3012209,27214,71157,XEC,53.57,-113.52,533423008,-1133100010,671,1996,2021,1999,2021,1996,2021,1996,2007
EDMONTON NAMAO A,ALBERTA,3012210,1868,71121,YED,53.67,-113.47,534000000,-1132800000,687.9,1955,2021,1955,2021,1955,2009,1955,1996
EDMONTON NAMAO AWOS A,ALBERTA,3012212,30907,71121,YED,53.67,-113.47,534000000,-1132800000,687.93,2000,2021,2000,2021,2001,2021,2001,2007
EDMONTON STONY PLAIN,ALBERTA,301222F,1870,71119,WSE,53.55,-114.11,533251006,-1140630090,766.3,1966,2021,1994,2019,1966,2021,1966,2017
ELK ISLAND NAT PARK,ALBERTA,3012275,1873,71238,WFE,53.68,-112.87,534058000,-1125205000,716.2,1981,2021,1994,2021,1981,2021,1981,2007
FABYAN,ALBERTA,3012515,1881,,,52.97,-111,525800000,-1110000000,698,1966,2021,,,1966,2021,1966,2007
FERINTOSH AGCM,ALBERTA,3012590,46733,71673,PFA,52.74,-112.86,524437009,-1125128009,795,2007,2021,2008,2021,2007,2021,2007,2007
FORESTBURG PLANT SITE,ALBERTA,3012652,1884,,,52.47,-112.12,522802933,-1120712933,662.9,1967,2020,,,1967,2020,1967,2007
FORESTBURG AGCM,ALBERTA,3012653,46130,71674,PFO,52.55,-112.12,523254005,-1120724003,721,2007,2021,2007,2021,2007,2021,,
FORT SASKATCHEWAN,ALBERTA,3012710,1886,,,53.72,-113.18,534300000,-1131100000,620,1958,2021,,,1958,2021,1958,2007
GILT EDGE NORTH AGCM,ALBERTA,3012790,46131,71791,PGE,53.07,-110.62,530415007,-1103715009,647,2007,2021,2007,2021,2007,2021,,
GLENEVIS AGCM,ALBERTA,3012818,47074,71500,PGC,53.83,-114.54,534957006,-1143220005,670,2008,2021,2008,2021,2008,2021,,
HALKIRK AGCM,ALBERTA,3012999,46787,71792,PHA,52.12,-112.16,520659008,-1120951001,843,2007,2021,2008,2021,2007,2021,2007,2007
HEMARUKA AGCM,ALBERTA,3013140,46907,71793,PHE,51.78,-111.21,514647007,-1111243004,780,2007,2021,2008,2021,2007,2021,2007,2007
HOLDEN AGDM,ALBERTA,3013340,32395,71227,XHD,53.19,-112.25,531106009,-1121446004,688,2001,2021,2001,2021,2002,2021,2002,2007
HUGHENDEN AGCM,ALBERTA,3013362,46908,71794,PHU,52.58,-110.78,523441007,-1104701004,703,2007,2021,2008,2021,2007,2021,2007,2007
KILLAM AGDM,ALBERTA,3013640,32313,71228,XKM,52.85,-111.87,525051000,-1115219000,674.5,2002,2021,2002,2021,2002,2021,2002,2007
KESSLER AGCM,ALBERTA,3013644,46909,71796,PKA,52.29,-111.11,521725000,-1110647006,720,2007,2021,2008,2021,2007,2021,2007,2007
KINSELLA RESEARC STATION,ALBERTA,3013647,49049,,PKR,53.05,-111.55,530249000,-1113251000,701,2010,2021,2010,2021,2018,2021,,
KITSCOTY AGCM,ALBERTA,3013660,46808,71797,PKI,53.35,-110.42,532112005,-1102458002,664,2007,2021,2008,2021,2007,2021,2007,2007
LEGAL AGCM,ALBERTA,3013790,47088,71544,PLF,54,-113.47,540011001,-1132828001,680,2008,2021,2008,2021,2008,2021,,
LINDBERGH AGDM,ALBERTA,3013921,43560,71567,NLB,53.94,-110.58,535634000,-1103444000,630,2004,2021,2004,2021,2005,2021,2005,2007
LLOYDMINSTER,ALBERTA,3013959,48550,71871,YLL,53.31,-110.07,531833000,-1100421000,668.7,2009,2021,2009,2021,2009,2021,,
LLOYDMINSTER A,ALBERTA,3013961,1920,,,53.31,-110.07,531833000,-1100421000,668.43,1982,2021,1982,2012,1982,2021,1982,2007
MANNVILLE AGCM,ALBERTA,3014195,46767,71047,PMA,53.46,-111.26,532720006,-1111519009,656,2007,2021,2008,2021,2007,2021,2007,2007
MONITOR,ALBERTA,3014600,1935,,,52.02,-110.55,520100000,-1103300000,731.5,1983,2021,,,1983,2021,1983,2007
MUNDARE AGDM,ALBERTA,3014665,41785,71354,ZMU,53.57,-112.3,533400000,-1121800000,683,2003,2021,2003,2021,2003,2021,2003,2007
MYRNAM AGCM,ALBERTA,3014690,46811,71065,PMN,53.72,-111.11,534312008,-1110652005,580,2007,2021,2008,2021,2007,2021,2007,2007
NEW SAREPTA AGCM,ALBERTA,3014795,46911,71067,PNS,53.26,-113.17,531544009,-1130954006,765,2007,2021,2008,2021,2007,2021,2007,2007
OLIVER AGDM,ALBERTA,3014921,41783,71351,ZOL,53.65,-113.35,533900000,-1132100000,665,2003,2021,2003,2021,2003,2021,2003,2007
RADWAY AGCM,ALBERTA,3015346,47089,71545,PRW,54,-112.88,535942002,-1125245001,625,2008,2021,2008,2021,2008,2021,,
